geoid,geoid20,year,denom_total_hh,denom_youth_hh,avg_hh_size,youth_singleparenthh_count,youth_singleparenthh_pct,families_children_count,families_children_pct,living_alone_count,living_alone_pct,same_sex_count,same_sex_pct,opp_sex_count,opp_sex_pct
1400000US06037107020,6037107020,2021,1234,1685,4.5599999,260,15.430267,504,43.113773,292.25,25,0,0,782,63.371151
1400000US06037108101,6037108101,2021,791,377,3.03,28,7.4270558,166,21.699347,355.72501,46.5,3,.37926674,565,71.428574
1400000US06037108102,6037108102,2021,1202,762,3,81,10.629921,436,38.212093,467.81,41,0,0,826,68.718803
1400000US06037108103,6037108103,2021,1021,388,3.1199999,32,8.2474222,248,25.280327,419.86798,42.799999,0,0,791,77.473068
1400000US06037108104,6037108104,2021,577,489,3.1400001,150,30.674847,179,32.021465,218.00999,39,0,0,395,68.457542
1400000US06037108202,6037108202,2021,3358,2036,2.9200001,171,8.3988209,997,33.211193,813.54199,27.1,9,.26801667,2153,64.115547
1400000US06037108203,6037108203,2021,1201,617,2.8800001,175,28.363047,296,25.783972,436.23999,38,28,2.3313906,817,68.026642
1400000US06037108204,6037108204,2021,650,528,2.8199999,166,31.439394,286,44,191.09999,29.4,14,2.1538463,367,56.46154
1400000US06037109100,6037109100,2021,898,440,2.8800001,62,14.090909,154,19.059406,464.60001,57.5,33,3.6748331,360,40.089088
1400000US06037109200,6037109200,2021,1123,586,2.8199999,179,30.546076,226,22.309971,316.056,31.200001,0,0,531,47.284061
1400000US06037109300,6037109300,2021,973,569,3.03,74,13.005273,267,28.802589,384.70499,41.5,5,.51387459,603,61.973278
1400000US06037109400,6037109400,2021,1161,809,3.8,82,10.13597,305,27.087034,369.328,32.799999,9,.77519381,753,64.85788
1400000US06037109500,6037109500,2021,1036,1160,4.1799998,188,16.206896,330,32.640949,356.883,35.299999,0,0,691,66.698845
1400000US06037109601,6037109601,2021,1348,864,3.5899999,149,17.245371,373,27.670624,493.36798,36.599998,0,0,824,61.127598
1400000US06037109603,6037109603,2021,1274,967,3.3199999,381,39.400208,430,33.751961,387.29599,30.4,0,0,571,44.819466
1400000US06037109604,6037109604,2021,925,548,3.1800001,144,26.277372,205,23.163841,308.86502,34.900002,0,0,509,55.027027
1400000US06037109700,6037109700,2021,1441,831,3.22,93,11.191336,361,26.235466,634.336,46.099998,14,.97154754,824,57.18251
1400000US06037109800,6037109800,2021,1507,1024,3.24,64,6.25,365,25.051476,708.10199,48.599998,19,1.260783,864,57.332447
1400000US06037111100,6037111100,2021,992,573,3.1900001,47,8.2024431,272,28.661749,240.097,25.299999,10,1.0080645,546,55.040321
1400000US06037111201,6037111201,2021,1108,693,3.3299999,60,8.6580086,330,31.853281,403.00403,38.900002,8,.72202164,712,64.259926
1400000US06037111202,6037111202,2021,2011,1102,2.99,164,14.882032,634,33.741352,479.14499,25.5,15,.74589759,1075,53.455994
1400000US06037111204,6037111204,2021,1895,1022,3.0599999,57,5.5772996,407,22.228291,814.79498,44.5,9,.47493404,1445,76.253296
1400000US06037111205,6037111205,2021,1319,874,2.9100001,280,32.036613,481,37.171562,430.90198,33.299999,9,.68233508,650,49.279758
1400000US06037111206,6037111206,2021,1497,901,3.02,98,10.876803,461,32.350876,614.17499,43.099998,0,0,1052,70.27388
1400000US06037111302,6037111302,2021,1828,764,2.6800001,350,45.81152,341,19.419134,525.04401,29.9,22,1.2035011,922,50.437637
1400000US06037111303,6037111303,2021,1483,1228,3.3900001,218,17.752443,589,40.874393,402.039,27.9,0,0,952,64.194199
1400000US06037111304,6037111304,2021,1401,566,2.24,111,19.611307,421,31.606607,253.08,19,0,0,537,38.329765
1400000US06037111401,6037111401,2021,679,472,3.3199999,155,32.838982,224,32.989689,319.13,47,0,0,415,61.119293
1400000US06037111402,6037111402,2021,2166,1187,2.8399999,433,36.478516,550,25.392429,749.43597,34.599998,0,0,1104,50.969528
1400000US06037113101,6037113101,2021,1186,596,2.96,37,6.2080536,249,21.614584,499.96802,43.400002,15,1.2647555,728,61.382801
1400000US06037113102,6037113102,2021,1009,408,2.8299999,45,11.029411,251,26.310272,389.23199,40.799999,7,.69375622,685,67.889
1400000US06037113211,6037113211,2021,1673,761,2.54,33,4.3363996,375,23.335407,589.76898,36.700001,14,.83682007,966,57.740585
1400000US06037113212,6037113212,2021,967,530,3.23,276,52.07547,232,24.550264,346.815,36.700001,0,0,500,51.706306
1400000US06037113213,6037113213,2021,1735,1052,2.95,94,8.9353609,547,31.950935,534.14404,31.200001,27,1.556196,995,57.348701
1400000US06037113231,6037113231,2021,879,416,2.6800001,35,8.4134617,187,22.44898,290.71701,34.900002,0,0,644,73.265076
1400000US06037113232,6037113232,2021,1508,794,3.1800001,111,13.979849,412,27.466667,646.5,43.099998,9,.59681696,951,63.06366
1400000US06037113234,6037113234,2021,1694,1476,3.3099999,520,35.23035,456,28.517824,559.65002,35,0,0,822,48.524204
1400000US06037113235,6037113235,2021,701,261,2.5999999,90,34.482758,164,25.386997,226.74599,35.099998,8,1.1412268,336,47.931526
1400000US06037113237,6037113237,2021,1626,1148,3.21,196,17.073172,483,30.282131,666.70996,41.799999,49,3.0135303,985,60.578106
1400000US06037113238,6037113238,2021,1543,886,2.8699999,546,61.625282,319,21.984838,245.21899,16.9,0,0,604,39.144524
1400000US06037113239,6037113239,2021,913,359,2.6300001,123,34.261837,160,17.857143,338.68799,37.799999,13,1.4238774,219,23.986856
1400000US06037113301,6037113301,2021,1704,793,2.79,138,17.402269,374,24.52459,518.5,34,13,.76291078,810,47.53521
1400000US06037113303,6037113303,2021,1284,634,2.8800001,74,11.671925,299,23.286604,603.47998,47,0,0,752,58.566978
1400000US06037113322,6037113322,2021,1540,888,2.78,261,29.391891,443,28.954248,650.25,42.5,10,.64935064,875,56.81818
1400000US06037113323,6037113323,2021,1557,667,2.5599999,236,35.382309,437,29.017263,263.54999,17.5,37,2.3763647,636,40.847786
1400000US06037113324,6037113324,2021,1041,1057,2.96,121,11.447493,498,50.353893,112.74599,11.4,0,0,616,59.17387
1400000US06037113423,6037113423,2021,878,957,3.71,132,13.793103,331,37.699318,143.114,16.299999,9,1.025057,647,73.690208
1400000US06037113424,6037113424,2021,1270,653,3.0899999,107,16.385912,310,30.48181,366.12,36,53,4.1732283,590,46.456692
1400000US06037113425,6037113425,2021,1373,1318,3.3199999,414,31.41123,552,40.203934,166.13301,12.1,27,1.9664967,764,55.644573
1400000US06037113426,6037113426,2021,737,388,3.25,62,15.979382,153,20.759838,305.85501,41.5,12,1.6282225,465,63.093624
1400000US06037113427,6037113427,2021,1007,526,2.24,91,17.300381,276,28.840126,155.991,16.299999,21,2.0854023,449,44.587883
1400000US06037113428,6037113428,2021,1102,741,3.6900001,0,0,238,21.975992,373.63501,34.5,0,0,868,78.765877
1400000US06037115101,6037115101,2021,1947,889,2.71,173,19.460068,419,22.722343,750.508,40.700001,15,.77041602,1090,55.983566
1400000US06037115103,6037115103,2021,,0,4,0,,0,0,0,0,,,,
1400000US06037115104,6037115104,2021,2245,429,2.1900001,140,32.634033,210,10.365252,330.23798,16.299999,9,.40089086,467,20.801783
1400000US06037115202,6037115202,2021,2080,549,2.98,187,34.061932,274,13.665835,543.35498,27.1,10,.48076922,926,44.51923
1400000US06037115203,6037115203,2021,1177,234,1.97,101,43.162392,131,12.254443,379.495,35.5,0,0,319,27.102804
1400000US06037115204,6037115204,2021,1782,603,2.4300001,134,22.222221,294,18.329178,344.85999,21.5,0,0,727,40.796856
1400000US06037115301,6037115301,2021,1772,928,2.8199999,130,14.00862,452,27.64526,557.53497,34.099998,9,.50790066,954,53.837471
1400000US06037115302,6037115302,2021,1107,807,3.3499999,237,29.368031,301,27.793167,292.41,27,0,0,506,45.709126
1400000US06037115401,6037115401,2021,2040,1441,3.2,324,22.484386,695,36.085152,466.09201,24.200001,40,1.9607843,1099,53.872547
1400000US06037115403,6037115403,2021,1074,979,3.28,59,6.0265579,404,39.530334,194.17999,19,18,1.6759777,679,63.221603
1400000US06037115404,6037115404,2021,867,580,3.4100001,83,14.310345,226,28.25,155.2,19.4,30,3.4602077,499,57.554787
1400000US06037117101,6037117101,2021,1510,1263,3.53,439,34.758511,513,35.306263,217.95,15,14,.92715234,769,50.927151
1400000US06037117102,6037117102,2021,860,508,3.26,75,14.76378,216,26.503067,300.73502,36.900002,23,2.6744187,474,55.11628
1400000US06037117201,6037117201,2021,1265,1222,3.78,504,41.243862,393,33.025211,234.43001,19.700001,10,.79051381,554,43.794468
1400000US06037117202,6037117202,2021,941,491,2.99,106,21.588594,185,19.913885,448.707,48.299999,23,2.4442084,446,47.396385
1400000US06037117301,6037117301,2021,1124,713,3.3900001,59,8.2748947,339,31.043957,384.384,35.200001,0,0,746,66.37011
1400000US06037117302,6037117302,2021,1690,1045,3.02,116,11.100478,524,33.654465,569.862,36.599998,10,.59171599,1025,60.650887
1400000US06037117303,6037117303,2021,1202,943,3.74,109,11.558855,340,28.813559,573.47998,48.599998,5,.41597337,798,66.389351
1400000US06037117404,6037117404,2021,1382,1211,3.9200001,169,13.955409,424,30.836363,423.5,30.799999,8,.57887119,936,67.727928
1400000US06037117405,6037117405,2021,907,1092,3.95,401,36.721611,440,51.103367,142.065,16.5,33,3.6383681,416,45.86549
1400000US06037117407,6037117407,2021,1027,1294,3.6800001,479,37.017002,484,48.063557,109.76299,10.9,0,0,550,53.554039
1400000US06037117408,6037117408,2021,741,875,3.6199999,252,28.799999,332,46.368713,121.004,16.9,5,.67476386,391,52.766533
1400000US06037117510,6037117510,2021,1121,1074,3.75,340,31.657356,374,36.205227,135.323,13.1,10,.89206064,664,59.232826
1400000US06037117520,6037117520,2021,1109,1430,3.95,558,39.020981,596,55.338905,93.698997,8.6999998,6,.54102796,481,43.372406
1400000US06037117530,6037117530,2021,1719,1680,3.6500001,460,27.380953,744,43.790466,378.87698,22.299999,25,1.4543339,900,52.356022
